"lid","name","lat","lon","wfo","rfc","wrr","state","minor","moderate","major","date_produced","obj_or_subj","interval"
"WHIS2","Moreau River (SD) near Whitehorse","45.255833","100.842500","ABR","MBRFC","Missouri Region","SD","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WHMS1","Enoree River at Whitmire","34.509167","81.598333","CAE","SERFC","South Atlantic-Gulf Region","SC","0.1628","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WHNN8","Red River of the North at Wahpeton","46.266111","96.598333","FGF","NCRFC","Souris-Red-Rainy Region","ND","0.48","0.07","< 0.05","01/27/2023","obj","JFM"
"WHRM8","Whitefish River near Kalispell","48.320278","114.277500","MSO","NWRFC","Pacific Northwest Region","MT","< 0.05","-999.0","-999.0","01/27/2023","obj","JFM"
"WHRQ9","White River at kilometer 1881.6 Alaska Hwy near Beaver Creek","61.933333","140.533333","PAFG4","APRFC","Alaska Region","AK","< 0.05","< 0.05","-999.0","03/01/2020","obj","MAM"
"WHRS2","White River (NE-SD) near White River","43.713048","100.685053","UNR","MBRFC","Missouri Region","SD","0.22","0.16","0.06","1/24/2023","obj","JFM"
"WHTG1","Chattahoochee River near Whitesburg","33.476944","84.901111","FFC","SERFC","South Atlantic-Gulf Region","GA","0.2788","0.0933","< 0.05","12/14/2022","obj","DJF"
"WHTM4","White River above Whitehall","43.464179","86.232567","GRR","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WHTT1","Sequatchie River near Whitwell","35.206389","85.497222","MRX","LMRFC","Tennessee Region","TN","0.71","< 0.05","< 0.05","01/24/2023","obj","JFM"
"WIBP1","Frankstown Branch Juniata River at Williamsburg","40.463056","78.200000","CTP","MARFC","Mid Atlantic Region","PA","0.14","0.11","< 0.05","01/05/2023","obj","JFM"
"WICT2","Wichita River at Wichita Falls","33.909542","98.533666","OUN","ABRFC","Arkansas-White-Red Region","TX","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"WIDM5","Mississippi River at Winona Dam 5a","44.088300","91.669900","ARX","NCRFC","Upper Mississippi Region","MN","0.15","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WIKC2","White River below Hamilton","40.437222","107.647222","GJT","CBRFC","Upper Colorado Region","CO","<0.05","<0.05","<0.05","03/11/2015","obj","MAM"
"WILA2","Willow Creek at Parks Highway","61.766667","150.066667","PAFC","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","03/01/2020","obj","MAM"
"WILM3","Hoosic River near Williamstown","42.700278","73.159444","ALY","NERFC","Mid Atlantic Region","MA","0.16","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WILN6","Ellicott Creek below Williamsville","42.977778","78.763889","BUF","NERFC","Great Lakes Region","NY","0.06","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WILP1","West Branch Susquehanna River at Williamsport","41.236111","76.996944","CTP","MARFC","Mid Atlantic Region","PA","0.14","0.11","< 0.05","01/05/2023","obj","JFM"
"WILW1","Willapa River at Willapa","46.651111","123.651667","PQR","NWRFC","Pacific Northwest Region","WA","0.07","-999.0","< 0.05","01/27/2023","obj","JFM"
"WIMF1","Little Manatee River (FL) near Wimauma at US 301","27.670833","82.352778","TBW","SERFC","South Atlantic-Gulf Region","FL","0.4346","0.0637","< 0.05","12/14/2022","obj","DJF"
"WIRW3","Wisconsin River at Wisconsin Rapids","44.392222","89.826944","GRB","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WKAS2","Vermillion River near Wakonda","42.990278","96.963333","FSD","MBRFC","Missouri Region","SD","0.22","0.2","0.17","1/24/2023","obj","JFM"
"WKEW3","Fox River at Waukesha","43.004722","88.243611","MKX","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WKSN7","Yadkin River at Wilkesboro","36.152500","81.145556","RNK","SERFC","South Atlantic-Gulf Region","NC","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WLBN1","Turkey Creek near Wilber","40.480210","97.012600","OAX","MBRFC","Missouri Region","NE","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WLBN3","Connecticut River at West Lebanon","43.646182","72.312300","GYX","NERFC","New England Region","NH","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WLCN8","Willow Creek (ND) near Willow City","48.588889","100.441667","BIS","NCRFC","Souris-Red-Rainy Region","ND","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WLDA1","Black Warrior River below Selden Dam","32.777222","87.841389","BMX","SERFC","South Atlantic-Gulf Region","AL","0.7636","0.1141","< 0.05","12/14/2022","obj","DJF"
"WLGT2","Salt Fork of the Red River at Wellington","34.957500","100.220556","AMA","ABRFC","Arkansas-White-Red Region","TX","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"WLHN8","Pembina River at Walhalla","48.913333","97.916667","FGF","NCRFC","Souris-Red-Rainy Region","ND","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WLKM4","Michigamme River near Witch Lake","46.246667","88.012500","MQT","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WLLN6","Genesee River at Wellsville","42.122222","77.957500","BUF","NERFC","Great Lakes Region","NY","0.11","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WLLN7","Roanoke River at Williamston","35.859722","77.040278","MHX","SERFC","South Atlantic-Gulf Region","NC","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"WLMC3","Shetucket River at Willimantic","41.700376","72.182500","BOX","NERFC","New England Region","CT","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WLMI2","Kankakee River near Wilmington","41.346667","88.186389","LOT","NCRFC","Upper Mississippi Region","IL","0.11","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WLMM3","Shawsheen River at Wilmington","42.568149","71.215278","BOX","NERFC","New England Region","MA","0.20","0.05","< 0.05","01/23/2023","obj","JFM"
"WLON1","Elkhorn River near Winslow","41.611020","96.468510","OAX","MBRFC","Missouri Region","NE","0.06","<0.05","<0.05","1/24/2023","obj","JFM"
"WLPN3","Connecticut River at North Walpole","43.126111","72.437222","GYX","NERFC","New England Region","NH","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WLRV1","Wells River at Wells River","44.150278","72.065556","BTV","NERFC","New England Region","VT","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"WLTN8","Missouri River near Williston","48.108056","103.714167","BIS","MBRFC","Missouri Region","ND","0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WLTO2","East Cache Creek near Walters","34.362307","98.282547","OUN","ABRFC","Arkansas-White-Red Region","OK","0.183","0.178","0.1438","01/26/2023","obj","JFM"
"WLWA2","Willow Creek near Willow","61.780833","149.884444","PAFC","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","01/01/2023","obj","JFM"
"WMGK1","Kansas River at Wamego","39.198333","96.305278","TOP","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"WMND1","Brandywine Creek at Wilmington","39.769500","75.576694","PHI","MARFC","Mid Atlantic Region","DE","0.06","< 0.05","< 0.05","01/05/2023","obj","JFM"
"WMSM4","Red Cedar River near Williamston","42.683090","84.219133","GRR","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"WMSO3","Williamson River below Chiloquin","42.564375","121.879714","MFR","CNRFC","California Region","OR","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
