"lid","name","lat","lon","wfo","rfc","wrr","state","minor","moderate","major","date_produced","obj_or_subj","interval"
"AANG1","Peachtree Creek at Atlanta","33.820306","84.407639","FFC","SERFC","South Atlantic-Gulf Region","GA","0.1966","0.1154","< 0.05","12/14/2022","obj","DJF"
"ABBG1","Ocmulgee River at Abbeville","31.996667","83.279167","FFC","SERFC","South Atlantic-Gulf Region","GA","0.8027","0.392","< 0.05","12/14/2022","obj","DJF"
"ABDM6","Buttahatchie River near Aberdeen","33.790000","88.315278","MEG","SERFC","South Atlantic-Gulf Region","MS","0.7601","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ABEM6","Tombigbee River at Aberdeen Lock and Dam","33.830000","88.520000","MEG","SERFC","South Atlantic-Gulf Region","MS","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ABIK1","Smoky Hill River near Abilene","38.906389","97.284167","TOP","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ABNG1","Flint River (GA) at Albany","31.594167","84.144167","TAE","SERFC","South Atlantic-Gulf Region","GA","0.213","0.0634","< 0.05","12/14/2022","obj","DJF"
"ABOM8","Clark Fork River above Missoula","46.877222","113.931389","MSO","NWRFC","Pacific Northwest Region","MT","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ABRN1","Little Nemaha River near Auburn","40.392805","95.812680","OAX","MBRFC","Missouri Region","NE","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ABRN8","Wild Rice River (ND) near Abercrombie","46.470556","96.781944","FGF","NCRFC","Souris-Red-Rainy Region","ND","0.25","0.12","< 0.05","01/27/2023","obj","JFM"
"ACDG1","Middle Oconee River near Arcade","34.031667","83.563333","FFC","SERFC","South Atlantic-Gulf Region","GA","0.455","0.0839","< 0.05","12/14/2022","obj","DJF"
"ACML1","Black River at Acme","31.267778","91.830833","JAN","LMRFC","Lower Mississippi Region","LA","0.53","0.40","0.19","01/24/2023","obj","JFM"
"ADAK1","Salt Creek (KS) near Ada","39.139167","97.836667","TOP","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ADAM4","Grand River at Ada","42.956974","85.477523","GRR","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ADLC2","Arkansas River near Avondale","38.248058","104.399136","PUB","ABRFC","Arkansas-White-Red Region","CO","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ADRM4","River Raisin near Adrian","41.904167","83.980556","DTX","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AERK1","Walnut Creek (KS) above Alexander 4W","38.464722","99.622222","DDC","ABRFC","Arkansas-White-Red Region","KS","0.0764","0.0586","0.0551","04/18/2016","obj","AMJ"
"AESI4","South Skunk River near Ames US 30","42.006653","93.595495","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AEXL1","Red River at Alexandria","31.308889","92.439167","LCH","LMRFC","Lower Mississippi Region","LA","0.15","0.12","0.11","01/24/2023","obj","JFM"
"AFBI2","Fox River at Algonquin tailwater","42.161944","88.293889","LOT","NCRFC","Upper Mississippi Region","IL","0.37","0.11","< 0.05","01/27/2023","obj","JFM"
"AFTW3","Rock River at Afton","42.613611","89.071667","MKX","NCRFC","Upper Mississippi Region","WI","0.18","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AGAK1","Walnut River at Augusta","37.670556","96.980000","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AGNI4","East Fork Des Moines River near Algona","43.082680","94.230608","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AGSI4","Skunk River at Augusta","40.754400","91.275399","DVN","NCRFC","Upper Mississippi Region","IA","0.10","0.07","< 0.05","01/27/2023","obj","JFM"
"AGSK1","Whitewater River (KS) at Augusta","37.679700","96.996380","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AGYM7","Platte River near Agency","39.688028","94.702611","EAX","MBRFC","Missouri Region","MO","0.4","0.11","<0.05","1/24/2023","obj","JFM"
"AKAM5","Mississippi River at Hwy 169 at Champlin","45.191600","93.394400","MPX","NCRFC","Upper Mississippi Region","MN","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AKDA4","Ouachita River at Arkadelphia","34.121111","93.046111","LZK","LMRFC","Lower Mississippi Region","AR","0.62","< 0.05","< 0.05","01/24/2023","obj","JFM"
"AKRI4","Big Sioux River at Akron","42.837500","96.561667","FSD","MBRFC","Missouri Region","IA","0.22","0.16","0.08","1/24/2023","obj","JFM"
"AKWI4","South River (South Central IA) near Ackworth","41.337216","93.486325","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALBK1","Walnut Creek (KS) at Albert","38.461667","99.014444","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ALBW3","Sugar River at Albany","42.705833","89.437778","MKX","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALDN1","Wood River near Alda","40.854722","98.474167","GID","MBRFC","Missouri Region","NE","0.26","0.2","0.12","1/24/2023","obj","JFM"
"ALEA2","Alsek River at Dry Bay","59.192806","138.333917","PAJK","APRFC","Alaska Region","AK","0.5","0.5","0.5","11/22/2018","obj","NDJ"
"ALEC2","East River (CO) at Almont","38.664437","106.848095","GJT","CBRFC","Upper Colorado Region","CO","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"ALEK1","Mud Creek (KS) at Abilene","38.929722","97.227778","TOP","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ALGL1","Boeuf River near Alto","32.373801","91.880754","JAN","LMRFC","Lower Mississippi Region","LA","< 0.05","< 0.05","< 0.05","01/24/2023","obj","JFM"
"ALKA2","Alsek River at Walker Glacier","59.395000","138.081944","PAJK","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","03/01/2020","obj","MAM"
"ALLA2","Koyukuk River at Allakaket","66.565278","152.642500","PAFG2","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","03/01/2020","obj","MAM"
"ALLM1","Allagash River above Allagash","47.069722","69.079444","CAR","NERFC","New England Region","ME","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"ALMK1","Little Arkansas River at Alta Mills","38.112200","97.591940","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ALMM4","Pine River at Alma","43.379475","84.655561","GRR","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALMW3","Mississippi River at Alma","44.326500","91.919600","ARX","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALNI2","Mississippi River at Mel Price (Alton) Lock and Dam","38.866389","90.146389","LSX","NCRFC","Upper Mississippi Region","IL","0.17","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALNP1","Jordan Creek at Allentown","40.623056","75.482778","PHI","MARFC","Mid Atlantic Region","PA","< 0.05","< 0.05","< 0.05","01/05/2023","obj","JFM"
"ALOI4","Cedar River at Waterloo","42.495542","92.334352","DMX","NCRFC","Upper Mississippi Region","IA","0.07","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALSM4","Sturgeon River near Alston","46.726389","88.661944","MQT","NCRFC","Great Lakes Region","MI","0.07","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALSQ9","Alsek River above Bates River","60.119167","137.974167","PAJK","APRFC","Alaska Region","AK","< 0.05","< 0.05","-999.0","03/01/2020","obj","MAM"
"ALTF1","Chipola River near Altha (CR 274)","30.533889","85.165278","TAE","SERFC","South Atlantic-Gulf Region","FL","0.3431","0.3096","< 0.05","12/14/2022","obj","DJF"
"ALTI4","Floyd River at Alton","42.981944","96.000833","FSD","MBRFC","Missouri Region","IA","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ALTV2","Roanoke River at Altavista","37.105705","79.285638","RNK","SERFC","South Atlantic-Gulf Region","VA","0.1763","0.1468","< 0.05","12/14/2022","obj","DJF"
"ALVM5","Snake River (NW MN) at Alvarado","48.195000","97.005556","FGF","NCRFC","Souris-Red-Rainy Region","MN","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ALXO2","Washita River at Alex","34.925903","97.773927","OUN","ABRFC","Arkansas-White-Red Region","OK","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ALYM7","Jacks Fork at Alley Spring","37.148170","91.443080","SGF","LMRFC","Arkansas-White-Red Region","MO","0.08","< 0.05","< 0.05","01/24/2023","obj","JFM"
"AMAT2","Canadian River at Amarillo","35.470278","101.879167","AMA","ABRFC","Arkansas-White-Red Region","TX","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AMCK1","Neosho River near Americus","38.466944","96.250278","TOP","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AMCO2","Cimarron River near Ames","36.218330","98.254440","OUN","ABRFC","Arkansas-White-Red Region","OK","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AMEI4","South Skunk River near Ames W Riverside Rd","42.066513","93.620134","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AMIL1","Tangipahoa River near Amite","30.728889","90.484167","LIX","LMRFC","South Atlantic-Gulf Region","LA","< 0.05","< 0.05","< 0.05","01/24/2023","obj","JFM"
"AMWI4","Ioway Creek at Ames Lincoln Way","42.022544","93.630430","DMX","NCRFC","Upper Mississippi Region","IA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AMYM6","Tombigbee River near Amory","33.985556","88.551111","MEG","SERFC","South Atlantic-Gulf Region","MS","0.8764","0.5225","< 0.05","12/14/2022","obj","DJF"
"ANDO2","Washita River at Anadarko","35.084228","98.243385","OUN","ABRFC","Arkansas-White-Red Region","OK","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ANGM6","Big Sunflower River near Anguilla","32.971700","90.777000","JAN","LMRFC","Lower Mississippi Region","MS","0.21","0.08","< 0.05","01/24/2023","obj","JFM"
"ANKM5","Mississippi River at Hwy 610 in Brooklyn Park","45.128800","93.299300","MPX","NCRFC","Upper Mississippi Region","MN","0.06","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ANNM4","Huron River at Ann Arbor","42.287500","83.733333","DTX","NCRFC","Great Lakes Region","MI","0.06","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ANNM7","Black River near Annapolis","37.336111","90.788611","LSX","LMRFC","Arkansas-White-Red Region","MO","0.43","0.10","< 0.05","01/24/2023","obj","JFM"
"ANSI4","Wapsipinicon River at Anamosa Shaw Rd","42.083339","91.267382","DVN","NCRFC","Upper Mississippi Region","IA","0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ANTO2","Kiamichi River near Antlers","34.248611","95.605000","TSA","ABRFC","Arkansas-White-Red Region","OK","0.1999","0.0793","< 0.05","01/26/2023","obj","JFM"
"APBA2","Anchor River at Anchor Point","59.772222","151.836389","PAFC","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","03/01/2020","obj","MAM"
"APCC1","Napa River near Napa","38.368246","122.303308","MTR","CNRFC","California Region","CA","0.06","< 0.05","< 0.05","01/27/2023","obj","JFM"
"APHG1","Big Creek near Alpharetta","34.050556","84.269444","FFC","SERFC","South Atlantic-Gulf Region","GA","> 0.95","0.1617","< 0.05","12/14/2022","obj","DJF"
"APLW3","Fox River (North) at Appleton","44.248056","88.423056","GRB","NCRFC","Great Lakes Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"APNC2","Roaring Fork River (CO) near Aspen","39.179988","106.801983","GJT","CBRFC","Upper Colorado Region","CO","<0.05","-999.0","<0.05","01/27/2023","obj","JFM"
"APTA2","Anchor River at New Sterling Hwy","59.747222","151.753056","PAFC","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","07/01/2022","obj","JAS"
"ARCC1","Mad River near Arcata","40.910000","124.059444","EKA","CNRFC","California Region","CA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ARCC2","Arkansas River near Rocky Ford","38.064604","103.685472","PUB","ABRFC","Arkansas-White-Red Region","CO","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ARCF1","Peace River (FL) at SR 70 Arcadia","27.221944","81.876111","TBW","SERFC","South Atlantic-Gulf Region","FL","0.1335","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ARCK1","Arkansas River at Arkansas City","37.037500","97.039166","ICT","ABRFC","Arkansas-White-Red Region","KS","0.0864","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ARCT2","Red River at Arthur City","33.875000","95.501667","TSA","ABRFC","Arkansas-White-Red Region","OK","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ARCW3","Trempealeau River at Arcadia","44.254400","91.505300","ARX","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ARDW1","Entiat River near Ardenvoir","47.818611","120.423100","OTX","NWRFC","Pacific Northwest Region","WA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ARGW1","North Fork Stillaguamish River near Arlington","48.261667","122.046389","SEW","NWRFC","Pacific Northwest Region","WA","0.20","0.09","0.05","01/27/2023","obj","JFM"
"ARHF1","Horse Creek (FL) near Arcadia at SR 72","27.199167","81.988611","TBW","SERFC","South Atlantic-Gulf Region","FL","0.234","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ARKK1","Walnut River at Arkansas City","37.056380","97.025550","ICT","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ARLT1","Loosahatchie River at Arlington","35.310833","89.639444","MEG","LMRFC","Lower Mississippi Region","TN","0.32","0.12","< 0.05","01/24/2023","obj","JFM"
"ARLW1","Stillaguamish River at Arlington","48.203611","122.128056","SEW","NWRFC","Pacific Northwest Region","WA","0.28","0.06","< 0.05","01/27/2023","obj","JFM"
"ARNK1","Smoky Hill River near Arnold","38.807500","100.022222","DDC","MBRFC","Missouri Region","KS","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ARNM7","Meramec River at Arnold","38.456667","90.360556","LSX","NCRFC","Upper Mississippi Region","MO","0.30","0.05","< 0.05","01/27/2023","obj","JFM"
"AROC1","Pajaro River at Chittenden","36.900231","121.597722","MTR","CNRFC","California Region","CA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ARSA4","Mississippi River near Arkansas City","33.551500","91.238400","JAN","LMRFC","Lower Mississippi Region","AR","0.15","0.08","< 0.05","01/24/2023","obj","JFM"
"ARTN6","Black River at Watertown","43.985556","75.924722","BUF","NERFC","Great Lakes Region","NY","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"ARTT1","Powell River near Arthur","36.541667","83.630278","MRX","LMRFC","Tennessee Region","TN","0.49","0.07","0.06","01/24/2023","obj","JFM"
"ASEN6","Esopus Creek at Ashokan Reservoir East","41.950278","74.208333","ALY","NERFC","Mid Atlantic Region","NY","0.022","<0.05","<0.05","05/05/2015","obj","MJJ"
"ASFN6","East Branch of the Ausable River at Au Sable Forks","44.437500","73.681111","BTV","NERFC","Mid Atlantic Region","NY","0.15","< 0.05","< 0.05","01/23/2023","obj","JFM"
"ASLN1","Platte River near Ashland","41.062336","96.324408","OAX","MBRFC","Missouri Region","NE","0.14","0.05","<0.05","1/24/2023","obj","JFM"
"ASTF1","St. Johns River at Astor","29.166667","81.522222","MLB","SERFC","South Atlantic-Gulf Region","FL","> 0.95","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ASTM1","Kennebec River at Augusta","44.318611","69.771667","GYX","NERFC","New England Region","ME","0.11","< 0.05","< 0.05","01/23/2023","obj","JFM"
"ASTM5","Cedar River at Austin","43.655800","92.970800","ARX","NCRFC","Upper Mississippi Region","MN","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ASTN1","Salt Creek near Ashland","41.051745","96.338285","OAX","MBRFC","Missouri Region","NE","0.11","0.06","<0.05","1/24/2023","obj","JFM"
"ATCI4","East Nishnabotna River near Atlantic","41.346101","95.076936","DMX","MBRFC","Missouri Region","IA","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"ATCK1","Missouri River at Atchison","39.559722","95.113889","EAX","MBRFC","Missouri Region","KS","0.09","0.05","<0.05","1/24/2023","obj","JFM"
"ATKG1","Satilla River at Atkinson","31.220556","81.867500","JAX","SERFC","South Atlantic-Gulf Region","GA","0.467","< 0.05","< 0.05","12/14/2022","obj","DJF"
"ATKM5","Mississippi River near Aitkin","46.540556","93.707222","DLH","NCRFC","Upper Mississippi Region","MN","0.09","< 0.05","< 0.05","01/27/2023","obj","JFM"
"ATNS2","James River near Ashton","44.998333","98.480556","ABR","MBRFC","Missouri Region","SD","0.36","0.26","0.2","1/24/2023","obj","JFM"
"ATOK1","Verdigris River at Altoona","37.529770","95.674400","ICT","ABRFC","Arkansas-White-Red Region","KS","0.0548","< 0.05","< 0.05","01/26/2023","obj","JFM"
"ATWC2","South Platte River at Atwood","40.538900","103.267200","BOU","MBRFC","Missouri Region","CO","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"AUBM1","Androscoggin River at Auburn","44.072200","70.208600","GYX","NERFC","New England Region","ME","0.07","< 0.05","< 0.05","01/23/2023","obj","JFM"
"AUGA4","White River near Augusta","35.294444","91.394167","LZK","LMRFC","Arkansas-White-Red Region","AR","> 0.95","0.14","0.05","01/24/2023","obj","JFM"
"AUGG1","Savannah River at Augusta","33.373611","81.943056","CAE","SERFC","South Atlantic-Gulf Region","GA","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"AUON6","Owasco Outlet at Auburn","42.932222","76.565278","BGM","NERFC","Great Lakes Region","NY","< 0.05","< 0.05","< 0.05","07/26/2022","obj","JAS"
"AURO3","Pudding River at Aurora","45.233333","122.750278","PQR","NWRFC","Pacific Northwest Region","OR","0.12","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AUSG1","Sweetwater Creek near Austell","33.776389","84.615556","FFC","SERFC","South Atlantic-Gulf Region","GA","0.3755","0.2601","0.0976","12/14/2022","obj","DJF"
"AVAO2","Salt Fork Arkansas River near Alva","36.815031","98.648140","OUN","ABRFC","Arkansas-White-Red Region","OK","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"AVLA1","Tombigbee River at Bevill Lock and Dam","33.210278","88.288611","BMX","SERFC","South Atlantic-Gulf Region","AL","0.745","0.2332","0.1183","12/14/2022","obj","DJF"
"AVLN7","French Broad River at Asheville","35.608889","82.578056","GSP","LMRFC","Tennessee Region","NC","0.08","< 0.05","< 0.05","01/24/2023","obj","JFM"
"AVOM4","Mill Creek near Avoca","43.054444","82.734722","DTX","NCRFC","Great Lakes Region","MI","<0.05","<0.05","<0.05","06/26/2015","obj","JAS"
"AVOM5","West Fork Des Moines River near Avoca","43.949451","95.506930","FSD","NCRFC","Upper Mississippi Region","MN","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"AVON6","Genesee River at Avon","42.917778","77.757222","BUF","NERFC","Great Lakes Region","NY","0.19","< 0.05","< 0.05","01/23/2023","obj","JFM"
"AVTO2","Bird Creek at Avant","36.485000","96.060000","TSA","ABRFC","Arkansas-White-Red Region","OK","0.0953","0.0683","< 0.05","01/26/2023","obj","JFM"
"AYSG1","Satilla River near Waycross","31.238056","82.324722","JAX","SERFC","South Atlantic-Gulf Region","GA","0.1582","< 0.05","< 0.05","12/14/2022","obj","DJF"
"BABW3","Baraboo River near Baraboo","43.481667","89.637000","MKX","NCRFC","Upper Mississippi Region","WI","0.20","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BAGA4","White River at Batesville","35.760278","91.641111","LZK","LMRFC","Arkansas-White-Red Region","AR","0.17","0.12","0.05","01/24/2023","obj","JFM"
"BAIN6","Susquehanna River at Bainbridge","42.291389","75.476667","BGM","MARFC","Mid Atlantic Region","NY","0.28","< 0.05","< 0.05","01/05/2023","obj","JFM"
"BAKF1","Blackwater River (AL) near Baker","30.833333","86.734722","MOB","SERFC","South Atlantic-Gulf Region","FL","0.3696","0.134","< 0.05","12/14/2022","obj","DJF"
"BANK1","Little Blue River near Barnes","39.725833","96.804444","TOP","MBRFC","Missouri Region","KS","0.08","<0.05","<0.05","1/24/2023","obj","JFM"
"BANN8","Souris River near Bantry","48.505556","100.434444","BIS","NCRFC","Souris-Red-Rainy Region","ND","0.27","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BARF1","Peace River (FL) at SR 60 Bartow","27.901944","81.817500","TBW","SERFC","South Atlantic-Gulf Region","FL","0.0661","< 0.05","< 0.05","12/14/2022","obj","DJF"
"BARN1","Big Blue River near Barneston","40.044782","96.587321","OAX","MBRFC","Missouri Region","NE","0.08","<0.05","<0.05","1/24/2023","obj","JFM"
"BAXG1","Altamaha River near Baxley","31.938889","82.353611","JAX","SERFC","South Atlantic-Gulf Region","GA","0.8824","0.199","< 0.05","12/14/2022","obj","DJF"
"BBCW3","Yellow River (WI) at Babcock","44.302222","90.122500","GRB","NCRFC","Upper Mississippi Region","WI","0.46","0.08","0.05","01/27/2023","obj","JFM"
"BBGS1","Broad River in NC/SC near Blacksburg","35.124017","81.587872","GSP","SERFC","South Atlantic-Gulf Region","SC","0.0732","< 0.05","< 0.05","12/14/2022","obj","DJF"
"BBOW3","Baraboo River at West Baraboo","43.470833","89.759444","MKX","NCRFC","Upper Mississippi Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BBRM1","Big Black River near Depot Mountain","46.893889","69.752222","CAR","NERFC","New England Region","ME","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"BBRW4","South Fork Shoshone River above Buffalo Bill Reservoir","44.419110","109.258250","RIW","MBRFC","Missouri Region","WY","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"BCDW1","Skookumchuck River near Bucoda","46.772046","122.924298","SEW","NWRFC","Pacific Northwest Region","WA","0.16","0.07","< 0.05","01/27/2023","obj","JFM"
"BCHM8","Beaver Creek (MT) near Hinsdale","48.420278","107.171111","GGW","MBRFC","Missouri Region","MT","0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"BCHW3","Pecatonica River near Blanchardville","42.785556","89.861111","MKX","NCRFC","Upper Mississippi Region","WI","0.10","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BCKA1","Mobile River at Barry Steam Plant","31.002800","88.011000","MOB","SERFC","South Atlantic-Gulf Region","AL","0.201","< 0.05","< 0.05","12/14/2022","obj","DJF"
"BCMM8","Battle Creek (North-central MT) near Chinook","48.649444","109.231667","TFX","MBRFC","Missouri Region","MT","0.16","0.14","0.12","1/24/2023","obj","JFM"
"BCNA1","Burnt Corn Creek at Hwy 41 near Brewton 1NW","31.129722","87.087222","MOB","SERFC","South Atlantic-Gulf Region","AL","< 0.05","< 0.05","< 0.05","12/14/2022","obj","DJF"
"BCRM4","Battle Creek at Battle Creek","42.331430","85.153603","GRR","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BCRS1","Black Creek (SC) near Quinby","34.243611","79.745000","ILM","SERFC","South Atlantic-Gulf Region","SC","0.8634","0.1001","< 0.05","12/14/2022","obj","DJF"
"BDCL1","Bayou Des Cannes near Eunice","30.482778","92.490556","LCH","LMRFC","Lower Mississippi Region","LA","0.87","0.32","< 0.05","01/24/2023","obj","JFM"
"BDFI4","East Fork 102 River at Bedford","40.660543","94.716635","DMX","MBRFC","Missouri Region","IA","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"BDGM3","Taunton River near Bridgewater","41.933990","70.956431","BOX","NERFC","New England Region","MA","0.42","0.06","< 0.05","01/23/2023","obj","JFM"
"BDGM4","Muskegon River at Bridgeton","43.347241","85.939498","GRR","NCRFC","Great Lakes Region","MI","0.19","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BDKN4","Raritan River at Bound Brook","40.551111","74.548333","PHI","MARFC","Mid Atlantic Region","NJ","0.26","0.13","< 0.05","01/05/2023","obj","JFM"
"BDOW3","Bad River (WI) at Odanah","46.610220","90.687130","DLH","NCRFC","Great Lakes Region","WI","0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BDYN1","Platte River at Brady","41.019270","100.371500","LBF","MBRFC","Missouri Region","NE","0.07","<0.05","<0.05","1/24/2023","obj","JFM"
"BEAC3","Naugatuck River at Beacon Falls","41.442222","73.063056","OKX","NERFC","New England Region","CT","< 0.05","< 0.05","< 0.05","07/26/2022","obj","JAS"
"BEAI2","Illinois River at Beardstown","40.016851","90.438897","ILX","NCRFC","Upper Mississippi Region","IL","0.73","0.42","< 0.05","01/27/2023","obj","JFM"
"BEAN1","Big Blue River at Beatrice","40.256764","96.746952","OAX","MBRFC","Missouri Region","NE","0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"BEAO3","Nestucca River near Beaver","45.266667","123.845833","PQR","NWRFC","Pacific Northwest Region","OR","< 0.05","-999.0","< 0.05","01/27/2023","obj","JFM"
"BECV2","James River (VA) at Bent Creek","37.536111","78.829722","RNK","MARFC","Mid Atlantic Region","VA","0.06","< 0.05","< 0.05","01/05/2023","obj","JFM"
"BEKN1","S. Fork Republican River near Benkelman","40.010278","101.541944","GLD","MBRFC","Missouri Region","NE","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"BELM6","Yazoo River at Belzoni","33.164710","90.494310","JAN","LMRFC","Lower Mississippi Region","MS","0.31","0.18","0.11","01/24/2023","obj","JFM"
"BELM8","Clark Fork River below Missoula","46.869167","114.125833","MSO","NWRFC","Pacific Northwest Region","MT","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BENN1","Republican River near Benkelman","40.034722","101.542778","GLD","MBRFC","Missouri Region","NE","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
"BERU1","Bear River near Utah/Wyoming State Line","40.965225","110.853508","SLC","CBRFC","Great Basin Region","UT","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"BERW3","Fox River (North) at Berlin","43.953889","88.952500","MKX","NCRFC","Great Lakes Region","WI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BESM4","Black River near Bessemer","46.511389","90.074444","MQT","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"BETK1","Buckner Creek near Burdett","38.162778","99.642778","DDC","ABRFC","Arkansas-White-Red Region","KS","< 0.05","< 0.05","< 0.05","01/26/2023","obj","JFM"
"BETN3","Ammonoosuc River at Bethlehem","44.268674","71.630400","GYX","NERFC","New England Region","NH","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"BETP1","Lehigh River at Bethlehem","40.615278","75.379167","PHI","MARFC","Mid Atlantic Region","PA","< 0.05","< 0.05","< 0.05","01/05/2023","obj","JFM"
"BEVN1","Beaver Creek near Beaver City","40.120000","99.893056","GID","MBRFC","Missouri Region","NE","<0.05","<0.05","<0.05","1/24/2023","obj","JFM"
