id,lid,name,lat,lon,wfo,rfc,wrr,state,minor_CS_3month,moderate_CS_3month,major_CS_3month,code,date_produced,obj_or_subj_3month,interval_3month
MNLM6,MNLM6,West Hobolochitto Creek near McNeill,30.66222200,-89.68611100,LIX,LMRFC,South Atlantic-Gulf Region,MS,0.85,0.54,0.28,3,2/7/2023,obj,FMA
MONL1,MONL1,Tickfaw River at Montpelier,30.68611100,-90.64305600,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.45,0.05,0.05,1,2/7/2023,obj,FMA
MRML1,MRML1,Mermentau River at Mermentau,30.19000000,-92.59055600,LCH,LMRFC,Lower Mississippi Region,LA,0.95,0.26,0.06,2,2/7/2023,obj,FMA
MRRM6,MRRM6,Pascagoula River at Merrill,30.97805600,-88.72694400,MOB,LMRFC,South Atlantic-Gulf Region,MS,0.95,0.36,0.05,2,2/7/2023,obj,FMA
MSNA4,MSNA4,St. Francis River at Madison,35.01305600,-90.71916700,MEG,LMRFC,Lower Mississippi Region,AR,0.26,0.16,0.07,1,2/7/2023,obj,FMA
MTCM6,MTCM6,Pearl River near Monticello,31.55333000,-90.08805000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.95,0.56,0.05,3,2/7/2023,obj,FMA
MTTL1,MTTL1,Whisky Chitto Creek near Mittie,30.69861100,-92.89388900,LCH,LMRFC,Lower Mississippi Region,LA,0.54,0.22,0.05,2,2/7/2023,obj,FMA
MYVT1,MYVT1,Little River (TN) near Maryville,35.78611100,-83.88444400,MRX,LMRFC,Tennessee Region,TN,0.05,0.05,0.05,1,2/7/2023,obj,FMA
NECL1,NECL1,Boeuf River near Fort Necessity,32.07080000,-91.92810000,JAN,LMRFC,Lower Mississippi Region,LA,0.95,0.27,0.16,2,2/7/2023,obj,FMA
NLGL1,NLGL1,Tensas River near Newlight,32.08916700,-91.48972200,JAN,LMRFC,Lower Mississippi Region,LA,0.05,0.05,0.05,1,2/7/2023,obj,FMA
NMDM7,NMDM7,Mississippi River at New Madrid,36.58306000,-89.53222000,PAH,LMRFC,Lower Mississippi Region,MO,0.30,0.05,0.05,1,2/7/2023,obj,FMA
NOMT1,NOMT1,Obion River near Martin,36.40527800,-88.85472200,MEG,LMRFC,Lower Mississippi Region,TN,0.25,0.23,0.10,1,2/7/2023,obj,FMA
NPTA4,NPTA4,White River at Newport,35.60527800,-91.28888900,LZK,LMRFC,Arkansas-White-Red Region,AR,0.94,0.43,0.26,2,2/7/2023,obj,FMA
NRBL1,NRBL1,Natalbany River at Baptist,30.50416700,-90.54583300,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.12,0.05,0.05,1,2/7/2023,obj,FMA
NWPT1,NWPT1,French Broad River near Newport,35.98166700,-83.16111100,MRX,LMRFC,Tennessee Region,TN,0.08,0.05,0.05,1,2/7/2023,obj,FMA
OAKT1,OAKT1,Emory River at Oakdale,35.98305600,-84.55805600,MRX,LMRFC,Tennessee Region,TN,0.05,0.05,0.05,1,2/7/2023,obj,FMA
OARM6,OARM6,Okatibbee Creek at Arundel,32.29833300,-88.75361100,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.11,0.07,0.05,1,2/7/2023,obj,FMA
OBCL1,OBCL1,Calcasieu River near Oberlin,30.63972200,-92.81444400,LCH,LMRFC,Lower Mississippi Region,LA,0.95,0.63,0.25,3,2/7/2023,obj,FMA
OBNT1,OBNT1,Obion River near Obion,36.24076000,-89.21757500,MEG,LMRFC,Lower Mississippi Region,TN,0.41,0.05,0.05,1,2/7/2023,obj,FMA
OFAM6,OFAM6,Yockanookany River near Ofahoma,32.70611000,-89.67194000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.73,0.09,0.05,2,2/7/2023,obj,FMA
OKDL1,OKDL1,Calcasieu River near Oakdale,30.82250000,-92.68500000,LCH,LMRFC,Lower Mississippi Region,LA,0.62,0.16,0.05,2,2/7/2023,obj,FMA
