lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ABIK1,Smoky Hill River near Abilene,38.90638889,-97.28416667,TOP,MBRFC,Missouri Region,KS,0.18,0.08,0.05,1,3/8/2023,obj,MAM
ABRN1,Little Nemaha River near Auburn,40.39277778,-95.81277778,OAX,MBRFC,Missouri Region,NE,0.13,0.07,0.05,1,3/8/2023,obj,MAM
ADAK1,Salt Creek (KS) near Ada,39.13916667,-97.83666667,TOP,MBRFC,Missouri Region,KS,0.12,0.11,0.05,1,3/8/2023,obj,MAM
AGYM7,Platte River near Agency,39.68888889,-94.70416667,EAX,MBRFC,Missouri Region,MO,0.82,0.49,0.07,2,3/8/2023,obj,MAM
AKRI4,Big Sioux River at Akron,42.82580000,-96.55140000,FSD,MBRFC,Missouri Region,IA,0.83,0.52,0.36,3,3/8/2023,obj,MAM
ALDN1,Wood River near Alda,40.85280000,-98.47220000,GID,MBRFC,Missouri Region,NE,0.32,0.30,0.21,1,3/8/2023,obj,MAM
ALEK1,Mud Creek (KS) at Abilene,38.92972222,-97.22777778,TOP,MBRFC,Missouri Region,KS,0.07,0.05,0.05,1,3/8/2023,obj,MAM
ALTI4,Floyd River at Alton,42.99805556,-96.01750000,FSD,MBRFC,Missouri Region,IA,0.06,0.05,0.05,1,3/8/2023,obj,MAM
ARNK1,Smoky Hill River near Arnold,38.80750000,-100.02222222,DDC,MBRFC,Missouri Region,KS,0.06,0.05,0.05,1,3/8/2023,obj,MAM
ASLN1,Platte River near Ashland,41.06222222,-96.32472222,OAX,MBRFC,Missouri Region,NE,0.12,0.05,0.05,1,3/8/2023,obj,MAM
ASTN1,Salt Creek near Ashland,41.05166667,-96.33833333,OAX,MBRFC,Missouri Region,NE,0.21,0.14,0.05,1,3/8/2023,obj,MAM
ATCI4,East Nishnabotna River near Atlantic,41.30611111,-95.08472222,DMX,MBRFC,Missouri Region,IA,0.12,0.05,0.05,1,3/8/2023,obj,MAM
ATCK1,Missouri River at Atchison,39.56027778,-95.11333333,EAX,MBRFC,Missouri Region,KS,0.52,0.20,0.09,2,3/8/2023,obj,MAM
ATNS2,James River near Ashton,44.99833333,-98.48055556,ABR,MBRFC,Missouri Region,SD,0.91,0.80,0.65,4,3/8/2023,obj,MAM
ATWC2,South Platte River at Atwood,40.53888889,-103.26722222,BOU,MBRFC,Missouri Region,CO,0.08,0.07,0.05,1,3/8/2023,obj,MAM
BANK1,Little Blue River near Barnes,39.72583333,-96.80444444,TOP,MBRFC,Missouri Region,KS,0.27,0.06,0.05,1,3/8/2023,obj,MAM
BARN1,Big Blue River near Barneston,40.04472222,-96.58722222,OAX,MBRFC,Missouri Region,NE,0.20,0.05,0.05,1,3/8/2023,obj,MAM
BBRW4,South Fork Shoshone River above Buffalo Bill Reservoir,44.43277778,-109.25166667,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BCHM8,Beaver Creek (MT) near Hinsdale,48.42027778,-107.17111111,GGW,MBRFC,Missouri Region,MT,0.10,0.07,0.05,1,3/8/2023,obj,MAM
BCMM8,Battle Creek (North-central MT) near Chinook,48.65000000,-109.23333333,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BDFI4,East Fork 102 River at Bedford,40.66083333,-94.71638889,DMX,MBRFC,Missouri Region,IA,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BDYN1,Platte River at Brady,41.01944444,-100.37111111,LBF,MBRFC,Missouri Region,NE,0.23,0.10,0.07,1,3/8/2023,obj,MAM
BEAN1,Big Blue River at Beatrice,40.25611111,-96.74638889,OAX,MBRFC,Missouri Region,NE,0.13,0.05,0.05,1,3/8/2023,obj,MAM
BEKN1,S. Fork Republican River near Benkelman,40.00940000,-101.54220000,GLD,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BENN1,Republican River near Benkelman,40.03470000,-101.54280000,GLD,MBRFC,Missouri Region,NE,0.10,0.05,0.05,1,3/8/2023,obj,MAM
BEVN1,Beaver Creek near Beaver City,40.12000000,-99.89310000,GID,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BFYM8,Clarks Fork of the Yellowstone near Belfry,45.00916667,-109.06555556,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BGPN1,North Platte River near Bridgeport,41.67666667,-103.09694444,CYS,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BHBW4,Big Horn River at Basin,44.38333333,-108.03555556,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BIGM7,Big Piney at Ft. Wood - East Gate,37.76027778,-92.05805556,SGF,MBRFC,Missouri Region,MO,0.78,0.33,0.08,2,3/8/2023,obj,MAM
BILM8,Yellowstone River at Billings,45.80010000,-108.46800000,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BLAN1,Missouri River near Blair,41.55083333,-96.09694444,OAX,MBRFC,Missouri Region,NE,0.10,0.07,0.05,1,3/8/2023,obj,MAM
BLRK1,Big Blue River at Blue Rapids,39.68888889,-96.64166667,TOP,MBRFC,Missouri Region,KS,0.49,0.05,0.05,1,3/8/2023,obj,MAM
BLRM7,Big Creek near Blairstown,38.55500000,-93.96527778,EAX,MBRFC,Missouri Region,MO,0.95,0.90,0.05,3,3/8/2023,obj,MAM
BLTK1,Solomon River at Beloit,39.45500000,-98.10916667,GID,MBRFC,Missouri Region,KS,0.15,0.07,0.05,1,3/8/2023,obj,MAM
BLVM7,Blackwater River near Blue Lick,38.99027778,-93.20388889,EAX,MBRFC,Missouri Region,MO,0.94,0.56,0.12,3,3/8/2023,obj,MAM
BNYM8,Tongue River at Birney Day School near Birney,45.41166667,-106.45722222,BYZ,MBRFC,Missouri Region,MT,0.10,0.05,0.05,1,3/8/2023,obj,MAM
BONM7,Petite Saline Creek near Boonville,38.91722222,-92.70444444,EAX,MBRFC,Missouri Region,MO,0.62,0.50,0.05,3,3/8/2023,obj,MAM
BOSW4,Laramie River near Bosler,41.55472222,-105.82833333,CYS,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BOZM7,Missouri River at Boonville,38.98166667,-92.74583333,EAX,MBRFC,Missouri Region,MO,0.72,0.17,0.06,2,3/8/2023,obj,MAM
BREN8,Cannonball River at Breien,46.37610000,-100.93416667,BIS,MBRFC,Missouri Region,ND,0.52,0.05,0.05,2,3/8/2023,obj,MAM
BRKS2,Big Sioux River near Brookings,44.18030000,-96.74920000,FSD,MBRFC,Missouri Region,SD,0.69,0.37,0.10,2,3/8/2023,obj,MAM
BRLM7,Nodaway River near Burlington Junction,40.44500000,-95.08944444,EAX,MBRFC,Missouri Region,MO,0.16,0.05,0.05,1,3/8/2023,obj,MAM
BRNK1,Salt Creek (KS) at Barnard,39.19027778,-98.03972222,ICT,MBRFC,Missouri Region,KS,0.09,0.07,0.05,1,3/8/2023,obj,MAM
BRNM7,Grand River near Brunswick,39.43083333,-93.15972222,EAX,MBRFC,Missouri Region,MO,0.81,0.27,0.10,2,3/8/2023,obj,MAM
BRON1,Missouri River at Brownville,40.39888889,-95.65333333,OAX,MBRFC,Missouri Region,NE,0.68,0.23,0.08,2,3/8/2023,obj,MAM
BSMM8,Big Sandy Creek (MT) near Havre,48.52670000,-109.84150000,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BTMM8,Boulder River at Big Timber,45.83416667,-109.93805556,BYZ,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BVCM7,Blue River at Colorado Avenue,39.03670000,-94.52260000,EAX,MBRFC,Missouri Region,MO,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BVRN8,Beaver Creek (South Central ND) at Linton,46.26861111,-100.25138889,BIS,MBRFC,Missouri Region,ND,0.09,0.05,0.05,1,3/8/2023,obj,MAM
BVSN1,Sappa Creek near Beaver City,40.04583333,-99.89000000,GID,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BVUK1,Kansas River near Belvue,39.18750000,-96.14722222,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BWSW4,Belle Fourche River at Wyoming-South Dakota State Line,44.74890000,-104.05170000,UNR,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,3/8/2023,obj,MAM
BZNC2,South Platte River near Balzac,40.35777778,-103.52861111,BOU,MBRFC,Missouri Region,CO,0.09,0.08,0.06,1,3/8/2023,obj,MAM
CACS2,Little Missouri River at Camp Crook,45.54805556,-103.97111111,UNR,MBRFC,Missouri Region,SD,0.22,0.05,0.05,1,3/8/2023,obj,MAM
CAMN1,Republican River at Cambridge,40.28416667,-100.14333333,GID,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,3/8/2023,obj,MAM
CAXM7,Wakenda Creek at Carrollton,39.34361111,-93.48555556,EAX,MBRFC,Missouri Region,MO,0.66,0.56,0.17,3,3/8/2023,obj,MAM
CCMM8,Clear Creek (North-central MT) near Chinook near mouth,48.57888889,-109.39055556,TFX,MBRFC,Missouri Region,MT,0.31,0.27,0.14,1,3/8/2023,obj,MAM
CDBK1,Beaver Creek at Cedar Bluffs,39.98638889,-100.56000000,GLD,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,3/8/2023,obj,MAM
CHKI4,Little Sioux River at Cherokee,42.74472222,-95.54944444,FSD,MBRFC,Missouri Region,IA,0.27,0.05,0.05,1,3/8/2023,obj,MAM
CHPK1,Chapman Creek near Chapman,39.03111111,-97.04000000,TOP,MBRFC,Missouri Region,KS,0.16,0.05,0.05,1,3/8/2023,obj,MAM
CHTI4,Chariton River near Chariton,40.95194444,-93.25972222,DMX,MBRFC,Missouri Region,IA,0.11,0.05,0.05,1,3/8/2023,obj,MAM
CHZM7,Grand River near Chillicothe,39.75444444,-93.55638889,EAX,MBRFC,Missouri Region,MO,0.76,0.62,0.38,3,3/8/2023,obj,MAM
CLBM8,Missouri River near Culbertson,48.12250000,-104.47583333,GGW,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,3/8/2023,obj,MAM
CLBN1,Shell Creek near Columbus,41.52611111,-97.28166667,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,3/8/2023,obj,MAM
