lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
TNGK1,Stranger Creek near Tonganoxie,39.11638889,-95.01083333,EAX,MBRFC,Missouri Region,KS,0.45,0.05,0.05,1,2/21/2023,obj,FMA
TNRK1,Kansas River at Turner Bridge,39.09333333,-94.71027778,EAX,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
TOPK1,Soldier Creek near Topeka,39.09944444,-95.72472222,TOP,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
TOSM8,Missouri River at Toston,46.14638889,-111.42027778,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
TPAK1,Kansas River at Topeka,39.06666667,-95.64944444,TOP,MBRFC,Missouri Region,KS,0.06,0.06,0.05,1,2/21/2023,obj,FMA
TPOK1,Marais Des Cygnes River near Trading Post,38.21861111,-94.61277778,EAX,MBRFC,Missouri Region,KS,0.46,0.35,0.05,1,2/21/2023,obj,FMA
TSCK1,Saline River (KS) at Tescott,39.00416667,-97.87388889,TOP,MBRFC,Missouri Region,KS,0.19,0.08,0.05,1,2/21/2023,obj,FMA
TTZM7,Thompson River (IA/MO) near Trenton,40.06944444,-93.63833333,EAX,MBRFC,Missouri Region,MO,0.35,0.12,0.05,1,2/21/2023,obj,FMA
TURI4,Little Sioux River near Turin,41.96444444,-95.97250000,OAX,MBRFC,Missouri Region,IA,0.05,0.05,0.05,1,2/21/2023,obj,FMA
TWIM8,Jefferson River near Twin Bridges,45.61416667,-112.32916667,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
TWNM8,Beaverhead River near Twin Bridges,45.38361111,-112.45194444,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
UEHN1,Logan Creek at Uehling,41.71670000,-96.51670000,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
UION1,Weeping Water Creek at Union,40.79388889,-95.91138889,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
ULLM8,Smith River (MT) at Truly,47.35555556,-111.44000000,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
ULMM8,Missouri River near Ulm,47.43500000,-111.38527778,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
URHM7,South Grand River near Urich,38.45250000,-94.00388889,EAX,MBRFC,Missouri Region,MO,0.65,0.39,0.05,2,2/21/2023,obj,FMA
VAUM8,Sun River near Vaughn,47.52583333,-111.51194444,TFX,MBRFC,Missouri Region,MT,0.05,0.05,0.05,1,2/21/2023,obj,FMA
VCWK1,Vermillion Creek near Wamego,39.34777778,-96.21833333,TOP,MBRFC,Missouri Region,KS,0.09,0.05,0.05,1,2/21/2023,obj,FMA
VERN1,Ponca Creek at Verdel,42.81111111,-98.17500000,OAX,MBRFC,Missouri Region,NE,0.17,0.05,0.05,1,2/21/2023,obj,FMA
VERS2,Vermillion River at Vermillion,42.81722222,-96.92388889,FSD,MBRFC,Missouri Region,SD,0.31,0.30,0.05,1,2/21/2023,obj,FMA
VLYM7,Blackwater River near Valley City,38.87000000,-93.62194444,EAX,MBRFC,Missouri Region,MO,0.84,0.75,0.22,3,2/21/2023,obj,FMA
VRDN1,Niobrara River near Verdel,42.73972200,-98.22277800,OAX,MBRFC,Missouri Region,NE,0.05,0.05,0.05,1,2/21/2023,obj,FMA
VRPS2,East Fork Vermillion River near Parker,43.44527778,-97.10944444,FSD,MBRFC,Missouri Region,SD,0.61,0.38,0.27,2,2/21/2023,obj,FMA
WAAK1,Saline River (KS) near Wakeeney,39.10777778,-99.86888889,DDC,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WASS2,Cheyenne River near Wasta,44.08111111,-102.40083333,UNR,MBRFC,Missouri Region,SD,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WBSS2,Big Sioux River at Watertown Sioux Conifer Road,44.94250000,-97.14583333,ABR,MBRFC,Missouri Region,SD,0.79,0.48,0.06,2,2/21/2023,obj,FMA
WBWS2,Big Sioux River at Watertown Broadway Avenue,44.88944444,-97.11861111,ABR,MBRFC,Missouri Region,SD,0.83,0.76,0.06,3,2/21/2023,obj,FMA
WDRK1,Prairie Dog Creek near Woodruff,39.97861111,-99.47833333,GID,MBRFC,Missouri Region,KS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WDRW4,Wind River at Riverton,43.01055556,-108.37611111,RIW,MBRFC,Missouri Region,WY,0.05,0.05,0.05,1,2/21/2023,obj,FMA
WESS2,Elm River near Westport,45.65611111,-98.49666667,ABR,MBRFC,Missouri Region,SD,0.11,0.09,0.05,1,2/21/2023,obj,FMA
