lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ELNO2,North Canadian River near El Reno,35.56310700,-97.95755000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.08,0.05,0.05,1,2/20/2023,obj,FMA
ELTT2,Beaver Creek (TX) near Electra,33.90592800,-98.90506700,OUN,ABRFC,Arkansas-White-Red Region,TX,0.10,0.06,0.05,1,2/20/2023,obj,FMA
EMPK1,Cottonwood River at Emporia,38.38611100,-96.18166700,TOP,ABRFC,Arkansas-White-Red Region,KS,0.21,0.08,0.05,1,2/20/2023,obj,FMA
ENWK1,Crooked Creek (KS) near Englewood,37.03250000,-100.21111100,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
EPRK1,Neosho River at Emporia,38.43555600,-96.20916700,TOP,ABRFC,Arkansas-White-Red Region,KS,0.19,0.14,0.05,1,2/20/2023,obj,FMA
EREK1,Neosho River near Erie,37.54944400,-95.26444400,ICT,ABRFC,Arkansas-White-Red Region,KS,0.37,0.28,0.16,1,2/20/2023,obj,FMA
FCHC2,Fountain Creek at Pueblo,38.28778000,-104.60108500,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
FHAC2,Fountain Creek near Fountain,38.60166500,-104.67025000,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
FLRK1,Cottonwood River near Florence,38.23610000,-96.87690000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
FLTA4,Red River at Fulton,33.60730000,-93.81380000,SHV,ABRFC,Arkansas-White-Red Region,AR,0.05,0.05,0.05,1,2/20/2023,obj,FMA
FNEC2,Fountain Creek at Colorado Springs,38.81638200,-104.82275200,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
FRGO2,Cimarron River (KS) near Forgan,37.01111100,-100.49138900,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
FRNK1,Fall River (KS) at Fredonia,37.50833300,-95.83333300,ICT,ABRFC,Arkansas-White-Red Region,KS,0.31,0.08,0.05,1,2/20/2023,obj,FMA
FRSO2,Muddy Boggy Creek near Farris,34.27148500,-95.91220500,OUN,ABRFC,Arkansas-White-Red Region,OK,0.11,0.10,0.09,1,2/20/2023,obj,FMA
FWLC2,Arkansas River near Fowler,38.12593700,-103.94420800,PUB,ABRFC,Arkansas-White-Red Region,CO,0.06,0.05,0.05,1,2/20/2023,obj,FMA
GCKK1,Arkansas River at Garden City,37.95620000,-100.87715000,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
GLOO2,Glover River at Glover,34.09750000,-94.90194400,SHV,ABRFC,Arkansas-White-Red Region,OK,0.31,0.13,0.08,1,2/20/2023,obj,FMA
GOLN5,Mora River near Golondrinas,35.89083300,-105.16361100,ABQ,ABRFC,Arkansas-White-Red Region,NM,0.05,0.05,0.05,1,2/20/2023,obj,FMA
GRVA4,Fourche LaFave River near Gravelly,34.87250000,-93.65666700,LZK,ABRFC,Arkansas-White-Red Region,AR,0.12,0.05,0.05,1,2/20/2023,obj,FMA
GSVT2,Red River near Gainesville,33.72788300,-97.16001300,OUN,ABRFC,Arkansas-White-Red Region,TX,0.15,0.13,0.05,1,2/20/2023,obj,FMA
GTBK1,Arkansas River at Great Bend,38.35305600,-98.76472200,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
GTRO2,Cimarron River near Guthrie,35.92060200,-97.42587500,OUN,ABRFC,Arkansas-White-Red Region,OK,0.08,0.05,0.05,1,2/20/2023,obj,FMA
GUCO2,Cottonwood Creek (OK) at Guthrie,35.87997200,-97.42930200,OUN,ABRFC,Arkansas-White-Red Region,OK,0.12,0.06,0.05,1,2/20/2023,obj,FMA
HAVK1,Arkansas River near Haven,37.94614200,-97.77511900,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
HCHK1,Arkansas River at Hutchinson,38.03805600,-97.93361100,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
HEAO2,North Fork of the Red River near Headrick,34.63812700,-99.10369100,OUN,ABRFC,Arkansas-White-Red Region,OK,0.09,0.06,0.05,1,2/20/2023,obj,FMA
HRGA4,Little River at Horatio,33.91944400,-94.38750000,SHV,ABRFC,Arkansas-White-Red Region,AR,0.44,0.35,0.24,1,2/20/2023,obj,FMA
HRHO2,North Canadian River near Harrah,35.50034100,-97.19391900,OUN,ABRFC,Arkansas-White-Red Region,OK,0.09,0.05,0.05,1,2/20/2023,obj,FMA
HSKO2,Arkansas River near Haskell,35.82222200,-95.63944400,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
HTCK1,Cow Creek above Hutchinson,38.14416700,-98.00750000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.20,0.06,0.05,1,2/20/2023,obj,FMA
HTDK1,Little Arkansas River near Halstead,38.02853100,-97.54054200,ICT,ABRFC,Arkansas-White-Red Region,KS,0.10,0.05,0.05,1,2/20/2023,obj,FMA
HUSA4,Fourche LaFave River near Houston,35.01222200,-92.72333300,LZK,ABRFC,Arkansas-White-Red Region,AR,0.95,0.11,0.05,2,2/20/2023,obj,FMA
HVRO2,Wildhorse Creek near Hoover,34.54147400,-97.24724400,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
IDBO2,Little River near Idabel,33.94111100,-94.75833300,SHV,ABRFC,Arkansas-White-Red Region,OK,0.34,0.25,0.05,1,2/20/2023,obj,FMA
IDPK1,Verdigris River at Independence,37.22360000,-95.67750000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.39,0.05,0.05,1,2/20/2023,obj,FMA
INGA4,Red River at Index,33.55194400,-94.04111100,SHV,ABRFC,Arkansas-White-Red Region,AR,0.05,0.05,0.05,1,2/20/2023,obj,FMA
INOO2,Verdigris River near Inola,36.16472200,-95.61888900,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
IOLK1,Neosho River at Iola,37.92220000,-95.42750000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.25,0.05,0.05,1,2/20/2023,obj,FMA
JNKO2,Polecat Creek near Jenks,36.01038900,-95.99386100,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
JOPM7,Shoal Creek (MO) near Joplin,37.02058000,-94.51375000,SGF,ABRFC,Arkansas-White-Red Region,MO,0.20,0.14,0.10,1,2/20/2023,obj,FMA
KENO2,Cimarron River (OK) at Kenton,36.92666700,-102.95861100,AMA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
KIOK1,Medicine Lodge River near Kiowa,37.03861100,-98.47027800,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
KNGO2,Kingfisher Creek at Kingfisher,35.87060000,-97.93250000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
KNRO2,Uncle John Creek at Kingfisher,35.86110000,-97.92417000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
KNSO2,Flint Creek (OK) near Kansas,36.18638900,-94.70666700,TSA,ABRFC,Arkansas-White-Red Region,OK,0.28,0.07,0.05,1,2/20/2023,obj,FMA
KTNT2,Sweetwater Creek at Kelton,35.47305600,-100.12055600,AMA,ABRFC,Arkansas-White-Red Region,TX,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LAPC2,Purgatoire River near Las Animas,38.03422200,-103.20141700,PUB,ABRFC,Arkansas-White-Red Region,CO,0.12,0.05,0.05,1,2/20/2023,obj,FMA
LCBT2,Wolf Creek at Lipscomb,36.23861100,-100.27527800,AMA,ABRFC,Arkansas-White-Red Region,TX,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LCVN5,Mora River at La Cueva,35.94500000,-105.25583300,ABQ,ABRFC,Arkansas-White-Red Region,NM,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LEDC2,Arkansas River near Leadville,39.24900000,-106.34811100,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LEPO2,Verdigris River near Lenapah,36.85111100,-95.58583300,TSA,ABRFC,Arkansas-White-Red Region,OK,0.17,0.15,0.05,1,2/20/2023,obj,FMA
LGNN5,Revuelto Creek near Logan,35.34444400,-103.38972200,ABQ,ABRFC,Arkansas-White-Red Region,NM,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LITA4,Arkansas River at Little Rock,34.74972200,-92.26916700,LZK,ABRFC,Arkansas-White-Red Region,AR,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LMAC2,Arkansas River at Lamar,38.10579200,-102.61820600,PUB,ABRFC,Arkansas-White-Red Region,CO,0.05,0.05,0.05,1,2/20/2023,obj,FMA
LNDO2,Washita River at Lindsay,34.81810000,-97.59830000,OUN,ABRFC,Arkansas-White-Red Region,OK,0.16,0.06,0.05,1,2/20/2023,obj,FMA
LRYK1,Neosho River at Le Roy,38.07694400,-95.63416700,TOP,ABRFC,Arkansas-White-Red Region,KS,0.16,0.16,0.05,1,2/20/2023,obj,FMA
LXHC2,Arkansas River at La Junta,37.99055600,-103.53194400,PUB,ABRFC,Arkansas-White-Red Region,CO,0.26,0.08,0.05,1,2/20/2023,obj,FMA
LYNK1,Cow Creek (KS) at Lyons,38.30833300,-98.19305500,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
MACK1,Rattlesnake Creek (KS) near Macksville,37.87127700,-98.87589900,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
MDKK1,Ninnescah River near Murdock,37.56166600,-97.85277800,ICT,ABRFC,Arkansas-White-Red Region,KS,0.08,0.05,0.05,1,2/20/2023,obj,FMA
MGMO2,Salt Fork of the Red River at Mangum,34.85839400,-99.50870100,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
MKGO2,Arkansas River near Muskogee,35.76944400,-95.29694400,TSA,ABRFC,Arkansas-White-Red Region,OK,0.21,0.11,0.09,1,2/20/2023,obj,FMA
MLBA4,Mulberry River (AR) near Mulberry,35.57694400,-94.01527800,TSA,ABRFC,Arkansas-White-Red Region,AR,0.07,0.05,0.05,1,2/20/2023,obj,FMA
MORA4,Arkansas River at Morrilton,35.12694400,-92.73166700,LZK,ABRFC,Arkansas-White-Red Region,AR,0.28,0.16,0.05,1,2/20/2023,obj,FMA
MULK1,Arkansas River near Mulvane,37.47550000,-97.26130000,ICT,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
