lid,lat,lon,rfc,minor,moderate,major,code,date_produced,name,wfo,wrr,state,obj_or_subj,interval
ROWW2,39.349763,-79.667919,OHRFC,0.11,0.05,0.05,1,1/27/2023,Cheat River at Rowlesburg,PBZ,Souris-Red-Rainy Region,WV,obj,JFM
RSSP1,41.938056,-79.133333,OHRFC,0.05,0.05,0.05,1,1/27/2023,Conewango Creek at Russell,CTP,Upper Mississippi Region,PA,obj,JFM
RVNI3,39.893333,-86.129444,OHRFC,0.35,0.05,0.05,1,1/27/2023,White River (IN) at Ravenswood,IND,Souris-Red-Rainy Region,IN,obj,JFM
SASI3,40.9878,-85.1119,OHRFC,0.1,0.05,0.05,1,1/27/2023,St. Marys River near Fort Wayne,IWX,Upper Mississippi Region,IN,obj,JFM
SBVI3,39.529167,-85.7775,OHRFC,0.13,0.08,0.05,1,1/27/2023,Big Blue River (IN) at Shelbyville,IND,Upper Mississippi Region,IN,obj,JFM
SBVO1,40.358333,-80.611111,OHRFC,0.05,0.05,0.05,1,1/27/2023,Ohio River at Steubenville,PBZ,Upper Mississippi Region,OH,obj,JFM
SGFO1,39.923056,-83.870278,OHRFC,0.21,0.05,0.05,1,1/27/2023,Mad River near Springfield,ILN,Upper Mississippi Region,OH,obj,JFM
SHLI3,38.666944,-86.791944,OHRFC,0.21,0.05,0.05,1,1/27/2023,East Fork White River at Shoals,IND,Upper Mississippi Region,IN,obj,JFM
SHPK2,37.985,-85.7175,OHRFC,0.12,0.08,0.05,1,1/27/2023,Salt River (KY) at Shepherdsville,LMK,Great Lakes Region,KY,obj,JFM
SHRP1,40.4875,-79.915278,OHRFC,0.05,0.05,0.05,1,1/27/2023,Allegheny River at Sharpsburg Lock and Dam,PBZ,Upper Mississippi Region,PA,obj,JFM
SIDO1,40.286944,-84.149943,OHRFC,0.25,0.05,0.05,1,1/27/2023,Great Miami River at Sidney,ILN,Great Lakes Region,OH,obj,JFM
SLMN6,42.156389,-78.715556,OHRFC,0.05,0.05,0.05,1,1/27/2023,Allegheny River at Salamanca,BUF,Great Lakes Region,NY,obj,JFM
SNCP1,40.994444,-79.394444,OHRFC,0.05,0.05,0.05,1,1/27/2023,Red Bank Creek at St Charles,PBZ,Souris-Red-Rainy Region,PA,obj,JFM
STMI2,38.936433,-88.022535,OHRFC,0.34,0.12,0.05,1,1/27/2023,Embarras River (IL) at Ste Marie,ILX,Great Lakes Region,IL,obj,JFM
