lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
ACML1,Black River at Acme,31.267778,-91.830833,JAN,LMRFC,Lower Mississippi Region,LA,0.41,0.32,0.15,1,2/21/2023,obj,FMA
AEXL1,Red River at Alexandria,31.308889,-92.439167,LCH,LMRFC,Lower Mississippi Region,LA,0.2,0.12,0.11,1,2/21/2023,obj,FMA
AKDA4,Ouachita River at Arkadelphia,34.121111,-93.046111,LZK,LMRFC,Lower Mississippi Region,AR,0.54,0.05,0.05,2,2/21/2023,obj,FMA
ALGL1,Boeuf River near Alto,32.373801,-91.880754,JAN,LMRFC,Lower Mississippi Region,LA,0.05,0.05,0.05,1,2/21/2023,obj,FMA
ALYM7,Jacks Fork at Alley Spring,37.14817,-91.44308,SGF,LMRFC,Arkansas-White-Red Region,MO,0.23,0.07,0.05,1,2/21/2023,obj,FMA
AMIL1,Tangipahoa River near Amite,30.728889,-90.484167,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.05,0.05,0.05,1,2/21/2023,obj,FMA
ANGM6,Big Sunflower River near Anguilla,32.9717,-90.777,JAN,LMRFC,Lower Mississippi Region,MS,0.15,0.08,0.05,1,2/21/2023,obj,FMA
ANNM7,Black River near Annapolis,37.336111,-90.788611,LSX,LMRFC,Arkansas-White-Red Region,MO,0.48,0.15,0.05,1,2/21/2023,obj,FMA
ARLT1,Loosahatchie River at Arlington,35.310833,-89.639444,MEG,LMRFC,Lower Mississippi Region,TN,0.25,0.1,0.05,1,2/21/2023,obj,FMA
ARSA4,Mississippi River near Arkansas City,33.5515,-91.2384,JAN,LMRFC,Lower Mississippi Region,AR,0.23,0.1,0.05,1,2/21/2023,obj,FMA
ARTT1,Powell River near Arthur,36.541667,-83.630278,MRX,LMRFC,Tennessee Region,TN,0.17,0.1,0.07,1,2/21/2023,obj,FMA
AUGA4,White River near Augusta,35.294444,-91.394167,LZK,LMRFC,Arkansas-White-Red Region,AR,0.95,0.27,0.11,2,2/21/2023,obj,FMA
AVLN7,French Broad River at Asheville,35.608889,-82.578056,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BAGA4,White River at Batesville,35.760278,-91.641111,LZK,LMRFC,Arkansas-White-Red Region,AR,0.3,0.2,0.11,1,2/21/2023,obj,FMA
BDCL1,Bayou Des Cannes near Eunice,30.482778,-92.490556,LCH,LMRFC,Lower Mississippi Region,LA,0.53,0.25,0.05,2,2/21/2023,obj,FMA
BELM6,Yazoo River at Belzoni,33.16471,-90.49431,JAN,LMRFC,Lower Mississippi Region,MS,0.36,0.26,0.13,1,2/21/2023,obj,FMA
BHTA4,Little Missouri River (AR) near Boughton,33.875556,-93.304444,LZK,LMRFC,Lower Mississippi Region,AR,0.42,0.05,0.05,1,2/21/2023,obj,FMA
BIRN7,Oconaluftee River at Birdtown,35.461389,-83.353611,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BKDL1,Bundick Creek at Bundick Lake,30.726667,-93.095,LCH,LMRFC,Lower Mississippi Region,LA,0.46,0.19,0.12,1,2/21/2023,obj,FMA
BKNM6,Black Creek near Brooklyn,31.0519,-89.2042,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.15,0.05,0.05,1,2/21/2023,obj,FMA
BKRA4,Black River at Black Rock,36.1025,-91.097778,LZK,LMRFC,Arkansas-White-Red Region,AR,0.95,0.28,0.12,2,2/21/2023,obj,FMA
BLAN7,French Broad River at Blantyre,35.299167,-82.623889,GSP,LMRFC,Tennessee Region,NC,0.24,0.05,0.05,1,2/21/2023,obj,FMA
BLTN7,Swannanoa River at Biltmore,35.568333,-82.544722,GSP,LMRFC,Tennessee Region,NC,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BNAA1,Big Nance Creek (AL) at Courtland,34.67,-87.317222,HUN,LMRFC,Tennessee Region,AL,0.27,0.24,0.19,1,2/21/2023,obj,FMA
BOGT1,Obion River near Bogota,36.135,-89.431667,MEG,LMRFC,Lower Mississippi Region,TN,0.13,0.05,0.05,1,2/21/2023,obj,FMA
BOVM6,Big Black River near Bovina,32.34777,-90.69694,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.17,0.05,2,2/21/2023,obj,FMA
BRCM6,Skuna River at Bruce,33.973611,-89.347778,MEG,LMRFC,Lower Mississippi Region,MS,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BRYA4,Kings River near Berryville,36.427222,-93.620833,TSA,LMRFC,Arkansas-White-Red Region,AR,0.05,0.05,0.05,1,2/21/2023,obj,FMA
BSBA1,Flint River (AL) at Brownsboro,34.749167,-86.446667,HUN,LMRFC,Tennessee Region,AL,0.35,0.12,0.08,1,2/21/2023,obj,FMA
BSHL1,Bogue Chitto River near Bush,30.629167,-89.897222,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.95,0.12,0.06,2,2/21/2023,obj,FMA
BSLL1,Bayou Nezpique at Basile,30.480556,-92.631667,LCH,LMRFC,Lower Mississippi Region,LA,0.37,0.16,0.05,1,2/21/2023,obj,FMA
BTAM6,Big Black River near Bentonia,32.603055,-90.36388,JAN,LMRFC,Lower Mississippi Region,MS,0.95,0.56,0.15,3,2/21/2023,obj,FMA
BTNA4,Saline River at Benton,34.567778,-92.610278,LZK,LMRFC,Lower Mississippi Region,AR,0.56,0.13,0.05,2,2/21/2023,obj,FMA
BVCL1,Bayou Vermilion near Carencro,30.368056,-91.9875,LCH,LMRFC,Lower Mississippi Region,LA,0.3,0.09,0.05,1,2/21/2023,obj,FMA
BVRT1,Hatchie River near Bolivar,35.275278,-88.976667,MEG,LMRFC,Lower Mississippi Region,TN,0.15,0.05,0.05,1,2/21/2023,obj,FMA
